'name', 'SEASON_ID', 'Player_ID', 'Game_ID', 'GAME_DATE', 'MATCHUP', 'WL', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'PLUS_MINUS', 'VIDEO_AVAILABLE','opponent_def_rating','opponent_reb','opponent_possesions' 
Kyrie Irving,22024,202681,22400406,"DEC 25, 2024",DAL vs. MIN,L,37,14,27,0.519,5,14,0.357,6,6,1.0,1,4,5,2,0,1,2,1,39,-4,1,108.8,42.82758620689656,50.00344827586206
Kyrie Irving,22024,202681,22400401,"DEC 23, 2024",DAL vs. POR,W,29,7,14,0.5,2,6,0.333,4,4,1.0,1,2,3,2,1,1,0,1,20,30,1,129.4,43.172413793103445,50.97241379310345
Kyrie Irving,22024,202681,22400385,"DEC 21, 2024",DAL vs. LAC,W,38,6,25,0.24,2,9,0.222,1,1,1.0,1,2,3,6,0,0,1,1,15,12,1,118.9,44.266666666666666,50.06
Kyrie Irving,22024,202681,22401228,"DEC 15, 2024",DAL @ GSW,W,35,8,16,0.5,1,4,0.25,4,5,0.8,1,2,3,8,0,0,2,0,21,10,1,141.6,47.03448275862069,50.85172413793104
Kyrie Irving,22024,202681,22401203,"DEC 10, 2024",DAL @ OKC,L,40,7,14,0.5,3,5,0.6,0,0,0.0,0,2,2,5,1,1,2,2,17,0,1,104.0,44.03448275862069,50.7
Kyrie Irving,22024,202681,22400344,"DEC 07, 2024",DAL @ TOR,W,39,9,14,0.643,6,9,0.667,5,5,1.0,0,6,6,4,2,1,3,2,29,6,1,117.9,44.80645161290322,51.75483870967742
Kyrie Irving,22024,202681,22400326,"DEC 05, 2024",DAL @ WAS,W,25,10,16,0.625,3,5,0.6,2,3,0.667,1,3,4,3,2,0,2,3,25,10,1,130.5,44.0,52.207142857142856
Kyrie Irving,22024,202681,22400056,"DEC 03, 2024",DAL vs. MEM,W,35,3,14,0.214,0,4,0.0,4,4,1.0,3,3,6,2,1,0,4,4,10,-1,1,112.0,48.67741935483871,53.66774193548388
Kyrie Irving,22024,202681,22400304,"NOV 30, 2024",DAL @ UTA,W,36,11,25,0.44,6,13,0.462,2,2,1.0,2,5,7,9,4,0,3,1,30,17,1,108.2,44.785714285714285,50.68214285714286
Kyrie Irving,22024,202681,22400292,"NOV 27, 2024",DAL vs. NYK,W,35,10,21,0.476,3,9,0.333,0,0,0.0,1,6,7,6,0,0,1,4,23,5,1,131.6,42.766666666666666,49.373333333333335
Kyrie Irving,22024,202681,22400280,"NOV 25, 2024",DAL @ ATL,W,41,11,28,0.393,6,13,0.462,4,4,1.0,2,5,7,6,0,0,3,3,32,3,1,115.2,46.0,52.94193548387097
Kyrie Irving,22024,202681,22400273,"NOV 24, 2024",DAL @ MIA,L,39,9,21,0.429,3,12,0.25,6,7,0.857,0,4,4,6,0,0,3,4,27,5,1,106.3,43.285714285714285,49.94642857142857
Kyrie Irving,22024,202681,22400033,"NOV 22, 2024",DAL @ DEN,W,38,7,19,0.368,1,6,0.167,4,4,1.0,1,5,6,6,1,1,3,3,19,6,1,121.8,45.21428571428572,51.575
Kyrie Irving,22024,202681,22400024,"NOV 19, 2024",DAL vs. NOP,W,27,6,11,0.545,4,5,0.8,2,2,1.0,1,0,1,7,0,0,1,1,18,28,1,129.4,43.12903225806452,50.483870967741936
Kyrie Irving,22024,202681,22400242,"NOV 17, 2024",DAL @ OKC,W,36,9,18,0.5,3,6,0.5,2,2,1.0,1,0,1,6,0,0,1,2,23,-4,1,124.7,44.03448275862069,50.7
Kyrie Irving,22024,202681,22400232,"NOV 16, 2024",DAL vs. SAS,W,28,9,15,0.6,2,6,0.333,2,3,0.667,1,7,8,6,2,0,3,2,22,22,1,110.0,44.8,50.333333333333336
Kyrie Irving,22024,202681,22400007,"NOV 12, 2024",DAL @ GSW,L,36,8,13,0.615,1,3,0.333,4,5,0.8,0,3,3,6,0,0,5,4,21,-13,1,112.5,47.03448275862069,50.85172413793104
Kyrie Irving,22024,202681,22400208,"NOV 10, 2024",DAL @ DEN,L,35,17,22,0.773,6,8,0.75,3,3,1.0,0,5,5,5,1,1,1,1,43,-6,1,121.2,45.21428571428572,51.575
Kyrie Irving,22024,202681,22400190,"NOV 08, 2024",DAL vs. PHX,L,41,10,17,0.588,2,6,0.333,7,9,0.778,2,5,7,6,3,0,2,1,29,9,1,122.8,42.689655172413794,49.49310344827586
Kyrie Irving,22024,202681,22400176,"NOV 06, 2024",DAL vs. CHI,W,28,7,11,0.636,1,3,0.333,2,2,1.0,0,6,6,2,3,0,1,0,17,9,1,111.2,44.45161290322581,52.61935483870968
Kyrie Irving,22024,202681,22400165,"NOV 04, 2024",DAL vs. IND,L,40,11,21,0.524,3,7,0.429,2,2,1.0,2,3,5,4,0,0,2,3,27,-11,1,121.0,40.903225806451616,50.84838709677419
Kyrie Irving,22024,202681,22400153,"NOV 03, 2024",DAL vs. ORL,W,28,5,11,0.455,1,2,0.5,6,7,0.857,0,2,2,3,2,0,1,2,17,17,1,106.9,42.03125,49.571875
Kyrie Irving,22024,202681,22400129,"OCT 31, 2024",DAL vs. HOU,L,43,10,20,0.5,5,6,0.833,3,3,1.0,4,4,8,7,0,0,3,2,28,-3,1,107.4,49.73333333333333,51.39333333333333
Kyrie Irving,22024,202681,22400114,"OCT 29, 2024",DAL @ MIN,W,39,13,23,0.565,6,8,0.75,3,5,0.6,2,2,4,5,1,0,1,3,35,4,1,122.4,42.82758620689656,50.00344827586206
Kyrie Irving,22024,202681,22400110,"OCT 28, 2024",DAL vs. UTA,W,36,8,14,0.571,3,6,0.5,4,4,1.0,2,4,6,9,1,1,4,2,23,13,1,110.0,44.785714285714285,50.68214285714286
Kyrie Irving,22024,202681,22400095,"OCT 26, 2024",DAL @ PHX,L,39,9,22,0.409,2,5,0.4,2,2,1.0,0,2,2,5,3,0,1,4,22,-13,1,104.1,42.689655172413794,49.49310344827586
Kyrie Irving,22024,202681,22400074,"OCT 24, 2024",DAL vs. SAS,W,27,6,17,0.353,3,7,0.429,0,0,0.0,1,2,3,2,2,1,0,1,15,15,1,115.4,44.8,50.333333333333336
Kyrie Irving,22023,202681,22301161,"APR 10, 2024",DAL @ MIA,W,37,10,15,0.667,5,8,0.625,0,0,0.0,0,3,3,4,2,0,1,2,25,11,1,122.0,42.29268292682927,48.88048780487805
Kyrie Irving,22023,202681,22301144,"APR 09, 2024",DAL @ CHA,W,37,6,15,0.4,2,8,0.25,4,5,0.8,2,6,8,9,2,3,2,3,18,24,1,130.0,40.28048780487805,49.40121951219513
Kyrie Irving,22023,202681,22301131,"APR 07, 2024",DAL vs. HOU,W,45,15,25,0.6,3,8,0.375,15,17,0.882,0,7,7,2,1,0,2,1,48,21,1,131.3,45.45121951219512,50.79512195121951
Kyrie Irving,22023,202681,22301097,"APR 05, 2024",DAL vs. GSW,W,42,9,19,0.474,2,7,0.286,6,6,1.0,1,7,8,7,2,1,5,3,26,1,1,105.9,46.707317073170735,50.91829268292683
Kyrie Irving,22023,202681,22301124,"APR 04, 2024",DAL vs. ATL,W,35,10,21,0.476,3,7,0.429,3,3,1.0,2,3,5,1,0,1,4,1,26,7,1,104.8,44.670731707317074,51.417073170731705
Kyrie Irving,22023,202681,22300589,"APR 02, 2024",DAL @ GSW,L,39,10,19,0.526,4,8,0.5,3,3,1.0,0,1,1,2,3,1,4,3,27,6,1,99.0,46.707317073170735,50.91829268292683
